piloto_id;nombre;apellido;fecha_nacimiento;pais;equipo_id
1;Max;Verstappen;1997-09-30;Países Bajos;1
2;Lewis;Hamilton;1985-01-07;Reino Unido;2
3;Charles;Leclerc;1997-10-16;Mónaco;3
4;Sergio;Pérez;1990-01-26;México;1
5;George;Russell;1998-02-15;Reino Unido;2
