circuito_id;nombre;pais;longitud;vueltas
1;Monza;Italia;5.79;53
2;Silverstone;Reino Unido;5.89;52
3;Interlagos;Brasil;4.31;71
4;Suzuka;Japón;5.81;53
5;Spa-Francorchamps;Bélgica;7.00;44
